,question,exec_time_seconds,answer,retriever_topk,PREPROCESSOR_SPLIT_BY,PREPROCESSOR_SPLIT_LENGTH,PREPROCESSOR_SPLIT_OVERLAP,EMBEDDING_MODEL,EMBEDDING_MODEL_SHORTNAME,EMBEDDING_MAX_SEQ_LENGTH,OUTPUT_TYPE,OUTPUT_NBEAMS,OUTPUT_MAXLENGTH
0,Who is Avery Kelly?,11.97317361831665,"Avery Kelly is one of the most famous people in the history of the United States of America. She was born in the mid-1800s in a small town in the middle of nowhere, New Mexico. She grew up in a very poor neighborhood, and was raised by a single mother and a single father. When she was 12 years old, she was kidnapped and taken to a boarding school in New Mexico, where she spent the rest of her life.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
1,Who is Avery Kelly?,10.186448097229004,"Avery Kelly is a witch. She's a witch, but she's not a witch in the traditional sense of the word. A witch is a person who believes in the existence of spirits. She believes that spirits are real, and that they exist in the world. She also believes that ghosts and other supernatural beings exist, but that they are not real. So, she believes in ghosts, and ghosts are real.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
2,Who is Avery Kelly?,12.462568283081055,"Avery Kelly is a witch. She's a witch, but she's not a witch in the traditional sense of the word. A witch is a person who believes in the existence of spirits. She believes that spirits are real, and that they exist in the world. She also believes that ghosts and other supernatural beings exist, but that they are not real. So, she believes in ghosts, and ghosts are real.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
3,Who is Avery Kelly?,12.849471092224121,"Avery Kelly is a witch. She's a witch, but she's not a witch in the traditional sense of the word. A witch is a person who believes in the existence of spirits. She believes that spirits are real, and that they exist in the world. She also believes that ghosts and other supernatural beings exist, but that they are not real. So, she believes in ghosts, and ghosts are real.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
4,Who is Zed?,6.341122150421143,"Zed Sadler is one of the founding members of the Blue Heron Institude. He was a member of the Institute's board of directors when it was founded in the early 80s, and has been a member since.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
5,Who is Zed?,5.982241630554199,"Zed Sadler is one of the founding members of the Atheneum Arrangement, an organization that was founded by Raymond Sunshine in the early 80s. He is known for his work on the Black Box and Gold Garden.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
6,Who is Zed?,5.464814901351929,"Zed Sadler is one of the founding members of the Atheneum Arrangement, an organization that was founded by Raymond Sunshine in the early 80s. He is known for his work on the Black Box and Gold Garden.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
7,Who is Zed?,7.343286037445068,"Zed Sadler is one of the founding members of the Atheneum Arrangement, an organization that was founded by Raymond Sunshine in the early 80s. He is known for his work on the Black Box and Gold Garden.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
8,What is Toadswallow?,3.0788638591766357,Toadswallow is a bird.,5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
9,What is Toadswallow?,4.935296297073364,Toadswallow is a bird.,10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
10,What is Toadswallow?,2.9606266021728516,Toadswallow is a bird.,20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
11,What is Toadswallow?,4.036031723022461,Toadswallow is a bird.,50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
12,What is Miss?,4.052674293518066,"Miss is a slang term for a woman. It's used to refer to any woman who is not a man. For example, if a woman is a man, she is called Miss. If she is a woman, her name is Miss.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
13,What is Miss?,3.5775418281555176,"Miss is a term used to refer to a person who is not a member of society. For example, if you are not a citizen of the United States, you do not have the right to vote.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
14,What is Miss?,4.451681613922119,"Miss is a term used to refer to a person who is not a member of society. For example, if you are not a citizen of the United States, you do not have the right to vote.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
15,What is Miss?,3.8471131324768066,"Miss is a term used to refer to a person who is not a member of society. For example, if you are not a citizen of the United States, you do not have the right to vote.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
16,What is the Forest Ribbon Trail?,3.1572089195251465,"The Forest Ribbon Trail is a place where you can go that is as far from the earthly as you can safely go. It is not easy, it is at the razor's edge between safety and ruin, and it may leave you changed.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
17,What is the Forest Ribbon Trail?,4.4147210121154785,"The Forest Ribbon Trail is a place where you can go that is as far from the earthly as you can safely go. It is not easy, it is at the razor's edge between safety and ruin, and it may leave you changed.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
18,What is the Forest Ribbon Trail?,5.597309350967407,"The Forest Ribbon Trail is a place where you can go that is as far from the earthly as you can safely go. It is not easy, it is at the razor's edge between safety and ruin, and it may leave you changed.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
19,What is the Forest Ribbon Trail?,5.8656487464904785,"The Forest Ribbon Trail is a place where you can go that is as far from the earthly as you can safely go. It is not easy, it is at the razor's edge between safety and ruin, and it may leave you changed.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
20,What animal is Snowdrop?,2.416053056716919,Snowdrop is an opossum.,5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
21,What animal is Snowdrop?,2.4923973083496094,"I don't know what animal Snowdrop is, but I can tell you that she is an opossum.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
22,What animal is Snowdrop?,2.7454042434692383,"I don't know what animal Snowdrop is, but I can tell you that she is an opossum.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
23,What animal is Snowdrop?,30.963050603866577,"I don't know what animal Snowdrop is, but I can tell you that she is an opossum.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
